100,score,index
100,200,1
99.9,199.9,2
99.8,199.8,3
99.7,199.7,4
99.6,199.6,5
99.5,199.5,6
99.4,199.4,7
99.3,199.3,8
99.2,199.2,9
99.1,199.1,10
99,199,11
98.9,198.9,12
98.8,198.8,13
98.7,198.7,14
98.6,198.6,15
98.5,198.5,16
98.4,198.4,17
98.3,198.3,18
98.2,198.2,19
98.1,198.1,20
98,198,21
97.9,197.9,22
97.8,197.8,23
97.7,197.7,24
97.6,197.6,25
97.5,197.5,26
97.4,197.4,27
97.3,197.3,28
97.2,197.2,29
97.1,197.1,30
97,197,31
96.9,196.9,32
96.8,196.8,33
96.7,196.7,34
96.6,196.6,35
96.5,196.5,36
96.4,196.4,37
96.3,196.3,38
96.2,196.2,39
96.1,196.1,40
96,196,41
95.9,195.9,42
95.8,195.8,43
95.7,195.7,44
95.6,195.6,45
95.5,195.5,46
95.4,195.4,47
95.3,195.3,48
95.2,195.2,49
95.1,195.1,50
95,195,51
94.9,194.9,52
94.8,194.8,53
94.7,194.7,54
94.6,194.6,55
94.5,194.5,56
94.4,194.4,57
94.3,194.3,58
94.2,194.2,59
94.1,194.1,60
94,194,61
93.9,193.9,62
93.8,193.8,63
93.7,193.7,64
93.6,193.6,65
93.5,193.5,66
93.4,193.4,67
93.3,193.3,68
93.2,193.2,69
93.1,193.1,70
93,193,71
92.9,192.9,72
92.8,192.8,73
92.7,192.7,74
92.6,192.6,75
92.5,192.5,76
92.4,192.4,77
92.3,192.3,78
92.2,192.2,79
92.1,192.1,80
92,192,81
91.9,191.9,82
91.8,191.8,83
91.7,191.7,84
91.6,191.6,85
91.5,191.5,86
91.4,191.4,87
91.3,191.3,88
91.2,191.2,89
91.1,191.1,90
91,191,91
90.9,190.9,92
90.8,190.8,93
90.7,190.7,94
90.6,190.6,95
90.5,190.5,96
90.4,190.4,97
90.3,190.3,98
90.2,190.2,99
90.1,190.1,100
90,190,101
89.9,189.9,102
89.8,189.8,103
89.7,189.7,104
89.6,189.6,105
89.5,189.5,106
89.4,189.4,107
89.3,189.3,108
89.2,189.2,109
89.1,189.1,110
89,189,111
88.9,188.9,112
88.8,188.8,113
88.7,188.7,114
88.6,188.6,115
88.5,188.5,116
88.4,188.4,117
88.3,188.3,118
88.2,188.2,119
88.1,188.1,120
88,188,121
87.9,187.7,122
87.8,187.4,123
87.7,187.1,124
87.6,186.8,125
87.5,186.5,126
87.4,186.2,127
87.3,185.9,128
87.2,185.6,129
87.1,185.3,130
87,185,131
86.9,184.7,132
86.8,184.4,133
86.7,184.1,134
86.6,183.8,135
86.5,183.5,136
86.4,183.2,137
86.3,182.9,138
86.2,182.6,139
86.1,182.3,140
86,182,141
85.9,181.7,142
85.8,181.4,143
85.7,181.1,144
85.6,180.8,145
85.5,180.5,146
85.4,180.2,147
85.3,179.9,148
85.2,179.6,149
85.1,179.3,150
85,179,151
84.9,178.7,152
84.8,178.4,153
84.7,178.1,154
84.6,177.8,155
84.5,177.5,156
84.4,177.2,157
84.3,176.9,158
84.2,176.6,159
84.1,176.3,160
84,176,161
83.9,175.7,162
83.8,175.4,163
83.7,175.1,164
83.6,174.8,165
83.5,174.5,166
83.4,174.2,167
83.3,173.9,168
83.2,173.6,169
83.1,173.3,170
83,173,171
82.9,172.6,172
82.8,172.2,173
82.7,171.8,174
82.6,171.4,175
82.5,171,176
82.4,170.6,177
82.3,170.2,178
82.2,169.8,179
82.1,169.4,180
82,169,181
81.9,168.6,182
81.8,168.2,183
81.7,167.8,184
81.6,167.4,185
81.5,167,186
81.4,166.6,187
81.3,166.2,188
81.2,165.8,189
81.1,165.4,190
81,165,191
80.9,164.6,192
80.8,164.2,193
80.7,163.8,194
80.6,163.4,195
80.5,163,196
80.4,162.6,197
80.3,162.2,198
80.2,161.8,199
80.1,161.4,200
80,161,201
79.9,160.6,202
79.8,160.2,203
79.7,159.8,204
79.6,159.4,205
79.5,159,206
79.4,158.6,207
79.3,158.2,208
79.2,157.8,209
79.1,157.4,210
79,157,211
78.9,156.6,212
78.8,156.2,213
78.7,155.8,214
78.6,155.4,215
78.5,155,216
78.4,154.6,217
78.3,154.2,218
78.2,153.8,219
78.1,153.4,220
78,153,221
77.9,152.5,222
77.8,152,223
77.7,151.5,224
77.6,151,225
77.5,150.5,226
77.4,150,227
77.3,149.5,228
77.2,149,229
77.1,148.5,230
77,148,231
76.9,147.5,232
76.8,147,233
76.7,146.5,234
76.6,146,235
76.5,145.5,236
76.4,145,237
76.3,144.5,238
76.2,144,239
76.1,143.5,240
76,143,241
